"","age","sex","race","hispanic","educ","income","born","relig","relig16","owngun","hunt","marital","happy","eatmeat","recycle","health","life"
"44",72,"female","white","not hispanic",17,27466,"yes","catholic","protestant","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"45",70,"female","white","not hispanic",20,108702,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","very happy",7,"always","excellent","exciting"
"46",78,"female","black","not hispanic",16,94339,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","not too happy",3,"always","fair","exciting"
"47",37,"male","white","not hispanic",16,62297,"yes","none","protestant","no","no, neither r nor spouse hunts","married","not too happy",2,"always","good","routine"
"48",49,"female","white","not hispanic",14,335,"yes","catholic","none","no","no, neither r nor spouse hunts","married","very happy",3,"always","fair","exciting"
"49",36,"female","other","hispanic",17,99413,"no","catholic","catholic","no","no, neither r nor spouse hunts","divorced","not too happy",3,"sometimes","good","exciting"
"50",47,"male","white","not hispanic",16,56908,"yes","protestant","protestant","yes","yes, both do","married","very happy",4,"always","excellent","exciting"
"51",60,"female","other","not hispanic",14,52220,"no","other","other","no","no, neither r nor spouse hunts","married","very happy",0,"always","excellent","exciting"
"52",43,"female","white","not hispanic",14,102729,"yes","none","protestant","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"53",64,"female","white","not hispanic",13,77377,"yes","catholic","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",2,"sometimes","excellent","routine"
"54",32,"female","white","not hispanic",16,35215,"yes","protestant","protestant","yes","yes, both do","married","pretty happy",2,"always","good","routine"
"55",38,"male","white","hispanic",18,82792,"yes","none","none","no","no, neither r nor spouse hunts","never married","not too happy",0,"sometimes","good","routine"
"56",60,"female","white","not hispanic",14,85054,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"57",38,"female","white","not hispanic",16,79899,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",0,"always","good","routine"
"58",72,"male","black","not hispanic",14,29665,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","not too happy",3,"often","fair","routine"
"59",30,"female","white","not hispanic",16,65522,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",3,"often","excellent","exciting"
"60",46,"male","other","hispanic",12,40077,"yes","protestant","protestant","no","no, neither r nor spouse hunts","widowed","pretty happy",7,"sometimes","fair","routine"
"61",52,"male","white","not hispanic",16,53159,"yes","protestant","protestant","yes","yes, respondent does","married","very happy",1,"sometimes","good","exciting"
"62",39,"male","white","not hispanic",11,24930,"yes","none","catholic","no","no, neither r nor spouse hunts","never married","pretty happy",2,"recycling not available where i live","fair","routine"
"63",25,"male","white","not hispanic",18,3778,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","not too happy",1,"always","good","routine"
"64",60,"male","white","not hispanic",15,100111,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",0,"always","good","routine"
"65",61,"male","white","not hispanic",18,44261,"yes","protestant","protestant","yes","yes, respondent does","divorced","very happy",6,"always","good","exciting"
"66",61,"male","white","not hispanic",13,102316,"yes","protestant","protestant","yes","yes, both do","married","very happy",2,"always","good","exciting"
"67",65,"male","white","not hispanic",20,40535,"yes","catholic","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"never","good","exciting"
"68",29,"female","white","hispanic",16,76702,"yes","catholic","catholic","no","no, neither r nor spouse hunts","never married","very happy",4,"often","good","routine"
"69",35,"male","white","not hispanic",16,58267,"no","none","none","yes","no, neither r nor spouse hunts","never married","pretty happy",1,"always","good","routine"
"70",24,"male","white","not hispanic",16,51235,"yes","none","none","no","no, neither r nor spouse hunts","never married","not too happy",0,"always","excellent","routine"
"71",57,"female","white","not hispanic",12,19657,"yes","catholic","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",5,"never","fair","routine"
"72",52,"female","white","not hispanic",12,98806,"yes","catholic","catholic","yes","yes, spouse does","married","pretty happy",1,"sometimes","excellent","routine"
"73",39,"female","white","not hispanic",12,72020,"yes","none","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"74",63,"female","white","not hispanic",13,98217,"yes","protestant","protestant","yes","yes, spouse does","married","very happy",4,"recycling not available where i live","good","routine"
"75",59,"female","white","not hispanic",12,63982,"yes","catholic","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",2,"always","good","routine"
"76",75,"male","white","not hispanic",19,100653,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",4,"always","good","exciting"
"77",49,"male","white","not hispanic",16,53847,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",5,"always","fair","exciting"
"78",37,"female","white","not hispanic",14,28112,"yes","protestant","catholic","yes","yes, respondent does","divorced","very happy",1,"often","excellent","exciting"
"79",48,"female","white","not hispanic",14,44372,"yes","other","other","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"always","good","routine"
"80",30,"female","white","not hispanic",16,38878,"yes","none","protestant","no","no, neither r nor spouse hunts","separated","not too happy",2,"sometimes","fair","routine"
"81",34,"male","white","not hispanic",13,52507,"yes","none","catholic","yes","yes, respondent does","married","pretty happy",4,"always","fair","routine"
"82",69,"male","other","not hispanic",18,96449,"yes","none","catholic","no","no, neither r nor spouse hunts","married","pretty happy",4,"often","good","exciting"
"83",51,"male","white","not hispanic",18,87274,"yes","none","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",4,"always","good","routine"
"84",70,"female","white","not hispanic",16,39086,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"85",49,"female","other","not hispanic",16,83527,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",1,"always","good","routine"
"86",42,"female","white","not hispanic",20,100858,"yes","none","protestant","no","no, neither r nor spouse hunts","married","pretty happy",3,"often","good","routine"
"87",44,"female","white","not hispanic",12,38175,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","not too happy",2,"sometimes","excellent","routine"
"88",30,"female","white","not hispanic",14,35229,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","never married","pretty happy",4,"often","excellent","exciting"
"89",65,"female","white","not hispanic",14,106750,"yes","none","catholic","no","no, neither r nor spouse hunts","never married","pretty happy",0,"always","good","exciting"
"90",43,"male","white","not hispanic",9,42453,"yes","none","none","no","no, neither r nor spouse hunts","married","pretty happy",6,"always","fair","routine"
"91",43,"female","black","not hispanic",12,90833,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"92",64,"female","white","not hispanic",18,68740,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","divorced","pretty happy",0,"always","good","exciting"
"93",37,"male","white","not hispanic",18,52557,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",1,"often","excellent","routine"
"94",61,"female","white","not hispanic",10,48538,"yes","none","none","no","no, neither r nor spouse hunts","divorced","pretty happy",5,"never","fair","routine"
"95",65,"female","white","not hispanic",14,64400,"yes","protestant","protestant","no","no, neither r nor spouse hunts","widowed","pretty happy",1,"always","good","routine"
"96",50,"male","white","not hispanic",18,119224,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",2,"always","fair","routine"
"97",89,"male","white","not hispanic",18,21939,"yes","catholic","catholic","no","no, neither r nor spouse hunts","widowed","pretty happy",1,"always","excellent","exciting"
"98",37,"female","other","hispanic",0,110808,"no","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","fair","exciting"
"99",42,"male","white","not hispanic",12,42889,"yes","none","catholic","yes","yes, respondent does","married","pretty happy",4,"always","good","exciting"
"100",44,"male","white","not hispanic",12,40970,"yes","none","protestant","no","yes, respondent does","divorced","very happy",2,"always","good","exciting"
"101",29,"male","white","not hispanic",17,96574,"yes","protestant","protestant","yes","yes, respondent does","never married","very happy",3,"always","excellent","exciting"
"102",52,"male","white","not hispanic",17,97826,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"103",30,"male","white","not hispanic",11,9784,"yes","none","none","no","yes, respondent does","never married","not too happy",7,"sometimes","poor","dull"
"104",48,"male","white","not hispanic",19,55544,"yes","none","jewish","no","no, neither r nor spouse hunts","divorced","pretty happy",5,"always","excellent","routine"
"105",61,"male","white","not hispanic",18,104632,"yes","none","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"often","good","routine"
"106",61,"male","white","not hispanic",16,9615,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",3,"sometimes","poor","dull"
"107",30,"female","white","not hispanic",17,4817,"yes","jewish","jewish","no","no, neither r nor spouse hunts","never married","pretty happy",0,"always","good","exciting"
"108",69,"male","white","not hispanic",17,61289,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","divorced","pretty happy",3,"sometimes","fair","routine"
"109",62,"female","white","not hispanic",11,7698,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"110",37,"male","white","not hispanic",16,65530,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",3,"sometimes","fair","routine"
"111",59,"male","white","not hispanic",10,2894,"yes","none","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",4,"sometimes","good","routine"
"112",58,"female","white","not hispanic",18,70669,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","excellent","routine"
"113",49,"female","other","not hispanic",6,13407,"no","other","other","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"always","good","routine"
"114",28,"female","white","not hispanic",8,26866,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",2,"sometimes","good","routine"
"115",71,"female","white","not hispanic",15,42266,"yes","none","none","yes","no, neither r nor spouse hunts","married","not too happy",5,"always","good","routine"
"116",77,"female","white","not hispanic",16,65389,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","widowed","not too happy",1,"always","good","exciting"
"117",70,"female","white","not hispanic",16,59739,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","widowed","not too happy",0,"always","fair","exciting"
"118",72,"female","white","not hispanic",15,48184,"yes","none","catholic","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"119",36,"male","white","not hispanic",10,51030,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",2,"always","fair","routine"
"120",67,"female","white","not hispanic",12,118408,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","widowed","very happy",2,"always","fair","routine"
"121",34,"male","white","not hispanic",18,61087,"yes","none","none","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","excellent","routine"
"122",64,"female","white","not hispanic",17,50313,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","not too happy",0,"always","fair","routine"
"123",33,"female","white","hispanic",15,51943,"yes","catholic","none","yes","yes, both do","married","pretty happy",2,"sometimes","good","routine"
"124",51,"male","white","not hispanic",12,61678,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",7,"never","good","routine"
"125",71,"female","white","not hispanic",11,73040,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",0,"sometimes","good","routine"
"126",72,"male","white","not hispanic",14,106890,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"always","good","routine"
"127",42,"female","white","not hispanic",16,74268,"yes","none","other","yes","no, neither r nor spouse hunts","widowed","pretty happy",4,"never","good","routine"
"128",75,"male","white","not hispanic",18,34261,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","exciting"
"129",22,"female","white","not hispanic",15,19061,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",5,"recycling not available where i live","good","dull"
"130",38,"male","white","not hispanic",16,29727,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",7,"never","good","routine"
"131",42,"female","black","not hispanic",20,65089,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",2,"sometimes","excellent","exciting"
"132",62,"female","other","not hispanic",14,53300,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","divorced","pretty happy",1,"sometimes","good","exciting"
"133",80,"female","white","not hispanic",18,36325,"yes","protestant","protestant","yes","yes, spouse does","married","very happy",1,"often","excellent","exciting"
"134",34,"male","white","not hispanic",15,91143,"no","other","none","yes","no, neither r nor spouse hunts","married","pretty happy",0,"often","good","routine"
"135",53,"female","black","not hispanic",14,79035,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",7,"never","excellent","routine"
"136",28,"female","white","not hispanic",14,38815,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",4,"often","good","routine"
"137",41,"female","white","not hispanic",15,103456,"yes","other","catholic","yes","yes, both do","married","not too happy",7,"never","fair","routine"
"138",38,"female","white","not hispanic",11,10115,"yes","none","none","yes","no, neither r nor spouse hunts","divorced","not too happy",2,"often","fair","dull"
"139",29,"female","white","not hispanic",12,17901,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","very happy",4,"sometimes","good","exciting"
"140",53,"male","white","not hispanic",15,19967,"yes","other","none","no","no, neither r nor spouse hunts","married","pretty happy",3,"never","good","routine"
"141",53,"female","white","not hispanic",14,73913,"yes","none","catholic","no","no, neither r nor spouse hunts","divorced","not too happy",1,"always","excellent","routine"
"142",49,"male","white","not hispanic",16,46300,"yes","none","protestant","no","no, neither r nor spouse hunts","married","pretty happy",1,"always","excellent","routine"
"143",25,"male","white","not hispanic",12,51230,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",6,"sometimes","good","routine"
"144",76,"female","white","not hispanic",12,51223,"yes","none","none","yes","no, neither r nor spouse hunts","married","pretty happy",5,"always","good","routine"
"145",35,"female","white","not hispanic",14,30895,"yes","none","other","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"146",50,"male","white","not hispanic",17,41794,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","very happy",3,"always","good","exciting"
"147",41,"female","white","not hispanic",16,49936,"yes","other","none","yes","no, neither r nor spouse hunts","married","pretty happy",0,"always","good","routine"
"148",28,"male","white","not hispanic",16,57774,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","very happy",2,"always","good","routine"
"149",75,"male","white","not hispanic",14,97048,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",4,"always","fair","routine"
"150",66,"female","white","not hispanic",13,102318,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",4,"always","fair","routine"
"151",69,"male","white","not hispanic",14,92015,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","very happy",3,"always","fair","exciting"
"152",70,"male","white","not hispanic",12,18664,"yes","protestant","protestant","no","no, neither r nor spouse hunts","widowed","not too happy",3,"never","fair","dull"
"153",51,"male","white","not hispanic",18,42230,"yes","catholic","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"154",80,"female","white","not hispanic",12,17313,"yes","none","protestant","no","no, neither r nor spouse hunts","widowed","pretty happy",7,"never","fair","routine"
"155",29,"male","other","hispanic",13,18607,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","very happy",3,"recycling not available where i live","fair","routine"
"156",61,"female","white","not hispanic",12,19042,"yes","catholic","catholic","no","no, neither r nor spouse hunts","never married","pretty happy",3,"always","good","routine"
"157",51,"male","other","not hispanic",14,34709,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",2,"never","good","exciting"
"158",23,"female","white","hispanic",15,6795,"yes","catholic","catholic","yes","yes, respondent does","never married","very happy",7,"sometimes","excellent","exciting"
"159",59,"male","white","not hispanic",20,97443,"yes","none","catholic","no","no, neither r nor spouse hunts","never married","very happy",1,"always","excellent","exciting"
"160",65,"male","white","not hispanic",13,50013,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",1,"always","fair","routine"
"161",61,"male","white","not hispanic",20,112450,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","very happy",1,"often","excellent","routine"
"162",72,"male","white","not hispanic",16,118187,"yes","none","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",1,"sometimes","good","exciting"
"163",71,"male","white","not hispanic",16,106010,"yes","protestant","protestant","yes","yes, respondent does","married","not too happy",4,"always","good","exciting"
"164",56,"female","white","not hispanic",16,117290,"yes","protestant","none","no","no, neither r nor spouse hunts","married","pretty happy",0,"always","good","exciting"
"165",35,"female","white","not hispanic",16,118214,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",2,"always","good","exciting"
"166",47,"female","white","not hispanic",16,54815,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","not too happy",1,"sometimes","excellent","routine"
"167",46,"male","white","not hispanic",15,89983,"yes","catholic","catholic","no","no, neither r nor spouse hunts","never married","not too happy",7,"often","poor","routine"
"168",62,"female","white","not hispanic",19,50912,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",2,"always","good","exciting"
"169",55,"female","white","not hispanic",13,34245,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","not too happy",4,"always","fair","routine"
"170",76,"male","white","not hispanic",17,44244,"yes","none","protestant","yes","yes, respondent does","married","very happy",3,"always","good","exciting"
"171",35,"male","black","not hispanic",16,85874,"no","catholic","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",0,"always","good","routine"
"172",28,"male","other","hispanic",17,56680,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","very happy",2,"never","excellent","exciting"
"173",69,"male","white","not hispanic",14,42440,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","very happy",7,"always","good","exciting"
"174",43,"male","white","not hispanic",15,35607,"yes","protestant","protestant","yes","yes, respondent does","married","pretty happy",5,"sometimes","good","routine"
"175",76,"female","white","not hispanic",18,110288,"yes","none","protestant","no","no, neither r nor spouse hunts","married","very happy",3,"always","good","exciting"
"176",23,"female","white","not hispanic",12,10492,"yes","none","none","no","no, neither r nor spouse hunts","never married","pretty happy",3,"often","good","routine"
"177",31,"female","white","not hispanic",16,49502,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",1,"always","good","routine"
"178",89,"male","white","not hispanic",16,105791,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","widowed","very happy",3,"always","fair","routine"
"179",89,"male","white","hispanic",11,58873,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","widowed","pretty happy",2,"always","good","routine"
"180",54,"female","white","not hispanic",12,11449,"yes","jewish","catholic","no","no, neither r nor spouse hunts","divorced","not too happy",0,"always","good","routine"
"181",73,"female","white","hispanic",16,17401,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","widowed","very happy",6,"always","good","routine"
"182",30,"female","white","hispanic",12,18643,"no","catholic","catholic","no","no, neither r nor spouse hunts","never married","pretty happy",4,"sometimes","fair","routine"
"183",67,"female","white","not hispanic",17,45417,"yes","protestant","protestant","no","no, neither r nor spouse hunts","widowed","not too happy",3,"recycling not available where i live","fair","routine"
"184",68,"female","white","not hispanic",18,55709,"yes","jewish","other","yes","no, neither r nor spouse hunts","widowed","pretty happy",6,"always","good","routine"
"185",89,"male","white","not hispanic",14,52829,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","widowed","very happy",7,"always","excellent","exciting"
"186",49,"male","white","not hispanic",16,105683,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","never married","pretty happy",7,"recycling not available where i live","good","routine"
"187",68,"female","white","not hispanic",18,77071,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","not too happy",1,"always","good","routine"
"188",64,"male","white","not hispanic",12,13488,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","not too happy",6,"sometimes","poor","dull"
"189",55,"male","white","not hispanic",16,80886,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",4,"sometimes","good","exciting"
"190",42,"female","white","not hispanic",20,108526,"yes","none","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",1,"always","good","exciting"
"191",55,"female","white","not hispanic",12,24093,"yes","none","none","yes","no, neither r nor spouse hunts","married","pretty happy",3,"recycling not available where i live","good","routine"
"192",65,"female","white","not hispanic",16,93561,"yes","none","catholic","yes","no, neither r nor spouse hunts","separated","pretty happy",3,"always","good","routine"
"193",78,"female","white","not hispanic",11,7544,"yes","protestant","protestant","no","no, neither r nor spouse hunts","widowed","not too happy",0,"never","good","dull"
"194",35,"male","white","not hispanic",18,67334,"yes","protestant","protestant","yes","yes, respondent does","married","pretty happy",3,"often","good","routine"
"195",64,"male","black","not hispanic",16,68134,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",2,"sometimes","good","exciting"
"196",62,"female","black","not hispanic",15,91274,"yes","protestant","protestant","yes","yes, spouse does","married","very happy",3,"never","good","exciting"
"197",62,"female","white","not hispanic",14,109061,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","widowed","pretty happy",4,"recycling not available where i live","good","routine"
"198",41,"female","black","not hispanic",14,3875,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",5,"sometimes","excellent","dull"
"199",36,"female","white","not hispanic",12,62495,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",2,"recycling not available where i live","good","routine"
"200",49,"female","white","not hispanic",14,9035,"yes","none","none","no","no, neither r nor spouse hunts","never married","not too happy",5,"often","poor","routine"
"201",63,"male","white","not hispanic",19,91831,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","divorced","pretty happy",0,"always","good","exciting"
"202",80,"female","white","not hispanic",18,101094,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"always","good","exciting"
